Protein name	UniProt ID	Location class	Disease relationship	Existing drugs / clinical agents	Antibody MoA	Safety concerns	Differentiation hypothesis	Recommendation
CD40 ligand / CD154 / TNFSF5	P29965	Membrane and soluble ligand	SLE, Sjögren, MS, type 1 diabetes and B-cell-driven autoimmunity; central T-B/APC costimulation node.	Dapirolizumab pegol phase 3 SLE; dazodalibep phase 3 Sjögren; frexalimab phase 2/3 MS/SLE/T1D.	Fc-silent or non-crosslinking blockade of CD40L-CD40.	Thrombosis/platelet activation, infection, broad immune suppression.	Safer valency/Fc engineering and biomarker-selected costimulation-high disease can revisit historically strong biology.	High
BAFF receptor / TNFRSF13C	Q96RJ3	Membrane receptor on mature B cells	Sjögren, SLE, SSc, autoimmune cytopenias; survival of autoreactive B cells.	Ianalumab/VAY736 phase 3 Sjögren/SLE; no broad approved BAFF-R mAb confirmed.	Blocking BAFF binding with Fc-silent modulation or calibrated depletion.	Infection, hypogammaglobulinemia, vaccine response impairment.	More receptor-selective B-cell control than BAFF ligand blockade; Fc tuning can separate blockade from depletion.	High
FcRn / FCGRT	P55899	Membrane/endosomal recycling receptor	Pathogenic IgG diseases: pemphigus/BP, myositis, AAV, SLE/Sjögren subsets, gMG/CIDP.	Efgartigimod, rozanolixizumab, nipocalimab approved/advanced in IgG-mediated diseases.	Block IgG recycling to lower autoantibodies.	Infections, hypo-IgG, rebound, albumin effects depending molecule.	Crowded target; differentiation must be disease-specific dosing, albumin sparing, deeper/controlled IgG lowering or combination design.	Medium
CD19	P15391	Membrane B-cell/plasmablast marker	IgG4-RD, SLE, Sjögren, NMOSD, autoimmune cytopenias; broader B lineage than CD20.	Inebilizumab approved in NMOSD and reported approved IgG4-RD/gMG; obexelimab is CD19xFcGR2B in phase 2/3.	Depletion or inhibitory co-ligation.	Infection, hypogammaglobulinemia, prolonged depletion.	Non-depleting CD19xFcGR2B can suppress B cells while avoiding full cytotoxic depletion.	High
Fc gamma receptor IIb / FCGR2B	P31994	Membrane inhibitory Fc receptor on B cells/myeloid cells	Immune-complex and B-cell tolerance checkpoint; relevant to SLE, IgG4-RD, pemphigus, autoimmune cytopenias.	Obexelimab targets CD19 and FCGR2B.	Bispecific co-ligation with BCR/CD19 to inhibit activation.	Unwanted immune-complex effects, thrombocytopenia/myeloid modulation, underdosing.	Antibody-specific inhibitory bispecific biology; avoids cell depletion.	High
CXCL13	O43927	Secreted chemokine	Ectopic lymphoid structures and B-cell follicle recruitment in Sjögren, SLE nephritis, RA-like autoimmunity.	No widely approved CXCL13 antibody; clinical status unclear.	Neutralize CXCL13 or block CXCL13-CXCR5 axis.	Lymphoid architecture disruption, infection, redundancy with other chemokines.	Biomarker-rich patient selection using serum/tissue CXCL13 and gland/renal ectopic follicles.	Medium-High
CCL24 / eotaxin-2	O00175	Secreted chemokine	Fibroinflammatory disease; SSc, PSC and eosinophil/monocyte-fibrosis axis.	CM-101 anti-CCL24 studied in PSC/SSc; SSc phase 2 listed suspended.	Neutralizing antibody; pH-dependent recycling attractive for soluble antigen.	Chemokine redundancy, eosinophil host defense, uncertain causality.	Less crowded fibrosis chemokine axis; CCL24-high tissue/serum biomarker can enrich.	High
OSM receptor / OSMR	Q99650	Membrane cytokine receptor	Fibroblast/epithelial remodeling, inflammation, itch; SSc and HS-like inflammatory fibrosis hypothesis.	No approved OSMR antibody; OSM/OSMR programs limited/unclear.	Block OSMR signaling with Fc-silent IgG or masked inflamed-tissue antibody.	Wound healing/repair impairment, epithelial toxicity, broad stromal expression.	Targets tissue remodeling rather than canonical immune suppression; lesion transcriptomics can select.	High
TL1A / TNFSF15	O95150	Membrane/secreted TNF-family ligand	Mucosal inflammation and fibrosis; IBD validates pathway; possible celiac/PSC/SSc overlap.	Anti-TL1A antibodies in IBD pipelines; autoimmune outside IBD less validated.	Neutralize TL1A-DR3 signaling.	Host defense, mucosal immune effects, fibrosis benefit not guaranteed.	Extend validated mucosal-fibrotic biology to PSC/celiac immune-active subgroups.	Medium
IL-36 receptor / IL1RL2	Q9HB29	Membrane receptor	Skin/neutrophilic inflammation; GPP validated; possible HS and blistering inflammatory subgroups.	Spesolimab approved for GPP; imsidolimab trials in GPP/skin diseases.	Block IL-36R signaling.	Infection/barrier defense, limited non-GPP efficacy.	Use IL-36-high lesion biomarker and tissue-localized design; outside GPP competition/failure risk high.	Medium
